kamu/weaken.js:   18:29:52.883 | Batch: 4265 - 6 |       W | +571.02ms
kamu/hack.js: 18:29:52.883 | Batch: 4265 - 7     | H       | +531.02ms
kamu/grow.js:   18:29:52.883 | Batch: 4265 - 7   |    G    | +511.02ms
kamu/weaken.js:   18:29:52.883 | Batch: 4265 - 7 |       W | +491.02ms
kamu/hack.js: 18:29:52.883 | Batch: 4265 - 8     | H       | +451.02ms
kamu/grow.js:   18:29:52.883 | Batch: 4265 - 8   |    G    | +431.02ms
kamu/weaken.js:   18:29:52.883 | Batch: 4265 - 8 |       W | +411.02ms
kamu/hack.js: 18:29:52.883 | Batch: 4265 - 9     | H       | +371.02ms
kamu/grow.js:   18:29:52.884 | Batch: 4265 - 9   |    G    | +352.02ms
kamu/weaken.js:   18:29:52.884 | Batch: 4265 - 9 |       W | +332.02ms
kamu/hack.js: 18:29:53.508 | Batch: 4266 - 0     | H       | +899.02ms
kamu/grow.js:   18:29:53.508 | Batch: 4266 - 0   |    G    | +879.02ms
kamu/weaken.js:   18:29:53.508 | Batch: 4266 - 0 |       W | +859.02ms
kamu/hack.js: 18:29:53.508 | Batch: 4266 - 1     | H       | +819.02ms
kamu/grow.js:   18:29:53.511 | Batch: 4266 - 1   |    G    | +802.02ms
kamu/weaken.js:   18:29:53.511 | Batch: 4266 - 1 |       W | +782.02ms
kamu/hack.js: 18:29:53.511 | Batch: 4266 - 2     | H       | +742.02ms
kamu/grow.js:   18:29:53.516 | Batch: 4266 - 2   |    G    | +727.02ms
kamu/weaken.js:   18:29:53.516 | Batch: 4266 - 2 |       W | +707.02ms
kamu/hack.js: 18:29:53.516 | Batch: 4266 - 3     | H       | +667.02ms
kamu/grow.js:   18:29:53.516 | Batch: 4266 - 3   |    G    | +647.02ms
kamu/weaken.js:   18:29:53.543 | Batch: 4266 - 3 |       W | +654.02ms
kamu/hack.js: 18:29:53.546 | Batch: 4266 - 4     | H       | +617.02ms
kamu/grow.js:   18:29:53.546 | Batch: 4266 - 4   |    G    | +597.02ms
kamu/weaken.js:   18:29:53.546 | Batch: 4266 - 4 |       W | +577.02ms
kamu/hack.js: 18:29:53.558 | Batch: 4266 - 5     | H       | +549.02ms
kamu/hack.js: 18:29:53.558 | Batch: 4266 - 5     | H       | +549.02ms
kamu/grow.js:   18:29:53.558 | Batch: 4266 - 5   |    G    | +529.02ms
kamu/weaken.js:   18:29:53.589 | Batch: 4266 - 5 |       W | +540.02ms
kamu/hack.js: 18:29:53.590 | Batch: 4266 - 6     | H       | +501.02ms
kamu/grow.js:   18:29:53.590 | Batch: 4266 - 6   |    G    | +481.02ms
kamu/weaken.js:   18:29:53.590 | Batch: 4266 - 6 |       W | +461.02ms
kamu/hack.js: 18:29:53.590 | Batch: 4266 - 7     | H       | +421.02ms
kamu/grow.js:   18:29:53.590 | Batch: 4266 - 7   |    G    | +401.02ms
kamu/weaken.js:   18:29:53.590 | Batch: 4266 - 7 |       W | +381.02ms
kamu/hack.js: 18:29:53.614 | Batch: 4266 - 8     | H       | +365.02ms
kamu/grow.js:   18:29:53.615 | Batch: 4266 - 8   |    G    | +346.02ms
kamu/weaken.js:   18:29:53.615 | Batch: 4266 - 8 |       W | +326.02ms
kamu/hack.js: 18:29:53.621 | Batch: 4267 - 0     | H       | +209.02ms
kamu/grow.js:   18:29:53.622 | Batch: 4267 - 0   |    G    | +190.02ms
kamu/weaken.js:   18:29:53.622 | Batch: 4267 - 0 |       W | +170.02ms
kamu/hack.js: 18:29:53.622 | Batch: 4267 - 1     | H       | +130.02ms
kamu/grow.js:   18:29:53.622 | Batch: 4267 - 1   |    G    | +110.02ms
kamu/weaken.js:   18:29:53.622 | Batch: 4267 - 1 |       W | +90.02ms
kamu/hack.js: 18:29:53.645 | Batch: 4267 - 2     | H       | +73.02ms
kamu/grow.js:   18:29:53.658 | Batch: 4267 - 2   |    G    | +66.02ms
kamu/weaken.js:   18:29:53.659 | Batch: 4267 - 2 |       W | +47.02ms
kamu/hack.js: 18:29:53.699 | Batch: 4267 - 3     | H       | +47.02ms
kamu/grow.js:   18:29:53.709 | Batch: 4267 - 3   |    G    | +37.02ms
kamu/weaken.js:   18:29:53.724 | Batch: 4267 - 3 |       W | +32.02ms
kamu/hack.js: 18:29:53.752 | Batch: 4267 - 4     | H       | +20.02ms
kamu/grow.js:   18:29:53.769 | Batch: 4267 - 4   |    G    | +17.02ms
kamu/weaken.js:   18:29:53.773 | Batch: 4267 - 4 |       W | +1.02ms
kamu/hack.js: 18:29:53.816 | Batch: 4267 - 5     | H       | +4.02ms
kamu/hack.js: 18:29:53.816 | Batch: 4267 - 5     | H       | +4.02ms
kamu/grow.js:   18:29:53.839 | Batch: 4267 - 5   |    G    | +7.02ms
kamu/weaken.js:   18:29:53.880 | Batch: 4267 - 5 |       W | +28.02ms
kamu/hack.js: 18:29:53.905 | Batch: 4267 - 6     | H       | +13.02ms
kamu/grow.js:   18:29:53.916 | Batch: 4267 - 6   |    G    | +4.02ms
kamu/weaken.js:   18:29:53.939 | Batch: 4267 - 6 |       W | +7.02ms
kamu/hack.js: 18:29:53.973 | Batch: 4267 - 7     | H       | +1.02ms
kamu/hack.js: 18:29:53.973 | Batch: 4267 - 7     | H       | +1.02ms
kamu/grow.js:   18:29:54.003 | Batch: 4267 - 7   |    G    | +11.02ms
kamu/weaken.js:   18:29:54.012 | Batch: 4267 - 7 |       W | +0.02ms
kamu/hack.js: 18:29:54.072 | Batch: 4267 - 8     | H       | +20.02ms
kamu/grow.js:   18:29:54.075 | Batch: 4267 - 8   |    G    | +3.02ms
kamu/weaken.js:   18:29:54.100 | Batch: 4267 - 8 |       W | +8.02ms
kamu/hack.js: 18:29:54.236 | Batch: 4268 - 0     | H       | +15.02ms
kamu/grow.js:   18:29:54.277 | Batch: 4268 - 0   |    G    | +36.02ms
kamu/weaken.js:   18:29:54.280 | Batch: 4268 - 0 |       W | +19.02ms
kamu/hack.js: 18:29:54.301 | Batch: 4268 - 1     | H       | +0.02ms
kamu/grow.js:   18:29:54.323 | Batch: 4268 - 1   |    G    | +2.02ms
kamu/weaken.js:   18:29:54.358 | Batch: 4268 - 1 |       W | +17.02ms
kamu/hack.js: 18:29:54.381 | Batch: 4268 - 2     | H       | +0.02ms
kamu/grow.js:   18:29:54.401 | Batch: 4268 - 2   |    G    | +0.02ms
kamu/weaken.js:   18:29:54.422 | Batch: 4268 - 2 |       W | +1.02ms
kamu/hack.js: 18:29:54.495 | Batch: 4268 - 3     | H       | +34.02ms
kamu/grow.js:   18:29:54.495 | Batch: 4268 - 3   |    G    | +14.02ms
kamu/weaken.js:   18:29:54.518 | Batch: 4268 - 3 |       W | +17.02ms
kamu/hack.js: 18:29:54.551 | Batch: 4268 - 4     | H       | +10.02ms
kamu/grow.js:   18:29:54.561 | Batch: 4268 - 4   |    G    | +0.02ms
kamu/weaken.js:   18:29:54.581 | Batch: 4268 - 4 |       W | +0.02ms
kamu/hack.js: 18:29:54.621 | Batch: 4268 - 5     | H       | +0.02ms
kamu/grow.js:   18:29:54.671 | Batch: 4268 - 5   |    G    | +30.02ms
kamu/weaken.js:   18:29:54.673 | Batch: 4268 - 5 |       W | +12.02ms
kamu/hack.js: 18:29:54.701 | Batch: 4268 - 6     | H       | +0.02ms
kamu/hack.js: 18:29:54.701 | Batch: 4268 - 6     | H       | +0.02ms
kamu/grow.js:   18:29:54.722 | Batch: 4268 - 6   |    G    | +1.02ms
kamu/weaken.js:   18:29:54.749 | Batch: 4268 - 6 |       W | +8.02ms
kamu/hack.js: 18:29:54.782 | Batch: 4268 - 7     | H       | +1.02ms
kamu/grow.js:   18:29:54.802 | Batch: 4268 - 7   |    G    | +1.02ms
kamu/weaken.js:   18:29:54.822 | Batch: 4268 - 7 |       W | +1.02ms
kamu/hack.js: 18:29:54.876 | Batch: 4268 - 8     | H       | +15.02ms
kamu/grow.js:   18:29:54.882 | Batch: 4268 - 8   |    G    | +1.02ms
kamu/weaken.js:   18:29:54.904 | Batch: 4268 - 8 |       W | +3.02ms
kamu/hack.js: 18:29:54.954 | Batch: 4268 - 9     | H       | +13.02ms
kamu/grow.js:   18:29:54.962 | Batch: 4268 - 9   |    G    | +1.02ms
kamu/weaken.js:   18:29:54.981 | Batch: 4268 - 9 |       W | +0.02ms
kamu/hack.js: 18:29:55.077 | Batch: 4269 - 0     | H       | +53.02ms
