kamu/weaken.js:   23:47:09.129 | Batch: 274 - 4 |       W | +26.00ms
kamu/hack.js: 23:47:09.182 | Batch: 274 - 5     | H       | +39.00ms
kamu/grow.js:   23:47:09.192 | Batch: 274 - 5   |    G    | +29.00ms
kamu/weaken.js:   23:47:09.193 | Batch: 274 - 5 |       W | +10.00ms
kamu/hack.js: 23:47:09.247 | Batch: 274 - 6     | H       | +24.00ms
kamu/hack.js: 23:47:09.247 | Batch: 274 - 6     | H       | +24.00ms
kamu/grow.js:   23:47:09.275 | Batch: 274 - 6   |    G    | +32.00ms
kamu/weaken.js:   23:47:09.290 | Batch: 274 - 6 |       W | +27.00ms
kamu/hack.js: 23:47:09.337 | Batch: 274 - 7     | H       | +34.00ms
kamu/hack.js: 23:47:09.337 | Batch: 274 - 7     | H       | +34.00ms
kamu/grow.js:   23:47:09.348 | Batch: 274 - 7   |    G    | +25.00ms
kamu/weaken.js:   23:47:09.373 | Batch: 274 - 7 |       W | +30.00ms
kamu/hack.js: 23:47:09.398 | Batch: 274 - 8     | H       | +15.00ms
kamu/grow.js:   23:47:09.443 | Batch: 274 - 8   |    G    | +40.00ms
kamu/weaken.js:   23:47:09.468 | Batch: 274 - 8 |       W | +45.00ms
kamu/hack.js: 23:47:09.513 | Batch: 274 - 9     | H       | +50.00ms
kamu/grow.js:   23:47:09.524 | Batch: 274 - 9   |    G    | +41.00ms
kamu/weaken.js:   23:47:09.550 | Batch: 274 - 9 |       W | +47.00ms
kamu/hack.js: 23:47:09.599 | Batch: 275 - 0     | H       | +36.00ms
kamu/grow.js:   23:47:09.618 | Batch: 275 - 0   |    G    | +35.00ms
kamu/weaken.js:   23:47:09.659 | Batch: 275 - 0 |       W | +56.00ms
kamu/hack.js: 23:47:09.706 | Batch: 275 - 1     | H       | +63.00ms
kamu/grow.js:   23:47:09.726 | Batch: 275 - 1   |    G    | +63.00ms
kamu/weaken.js:   23:47:09.730 | Batch: 275 - 1 |       W | +47.00ms
kamu/hack.js: 23:47:09.744 | Batch: 275 - 2     | H       | +21.00ms
kamu/grow.js:   23:47:09.768 | Batch: 275 - 2   |    G    | +24.00ms
kamu/weaken.js:   23:47:09.788 | Batch: 275 - 2 |       W | +24.00ms
kamu/hack.js: 23:47:09.818 | Batch: 275 - 3     | H       | +14.00ms
kamu/grow.js:   23:47:09.843 | Batch: 275 - 3   |    G    | +19.00ms
kamu/weaken.js:   23:47:09.889 | Batch: 275 - 3 |       W | +45.00ms
kamu/hack.js: 23:47:09.919 | Batch: 275 - 4     | H       | +35.00ms
kamu/grow.js:   23:47:09.964 | Batch: 275 - 4   |    G    | +60.00ms
kamu/weaken.js:   23:47:09.978 | Batch: 275 - 4 |       W | +54.00ms
kamu/hack.js: 23:47:10.001 | Batch: 275 - 5     | H       | +37.00ms
kamu/grow.js:   23:47:10.002 | Batch: 275 - 5   |    G    | +18.00ms
kamu/weaken.js:   23:47:10.031 | Batch: 275 - 5 |       W | +27.00ms
kamu/hack.js: 23:47:10.081 | Batch: 275 - 6     | H       | +37.00ms
kamu/grow.js:   23:47:10.119 | Batch: 275 - 6   |    G    | +55.00ms
kamu/grow.js:   23:47:10.132 | Batch: 275 - 6   |    G    | +68.00ms
kamu/weaken.js:   23:47:10.139 | Batch: 275 - 6 |       W | +55.00ms
kamu/hack.js: 23:47:10.167 | Batch: 275 - 7     | H       | +43.00ms
kamu/grow.js:   23:47:10.187 | Batch: 275 - 7   |    G    | +43.00ms
kamu/weaken.js:   23:47:10.192 | Batch: 275 - 7 |       W | +28.00ms
kamu/hack.js: 23:47:10.218 | Batch: 275 - 8     | H       | +14.00ms
kamu/grow.js:   23:47:10.243 | Batch: 275 - 8   |    G    | +19.00ms
kamu/weaken.js:   23:47:10.290 | Batch: 275 - 8 |       W | +46.00ms
kamu/hack.js: 23:47:10.313 | Batch: 275 - 9     | H       | +29.00ms
kamu/grow.js:   23:47:10.341 | Batch: 275 - 9   |    G    | +37.00ms
kamu/grow.js:   23:47:10.353 | Batch: 275 - 9   |    G    | +49.00ms
kamu/weaken.js:   23:47:10.366 | Batch: 275 - 9 |       W | +42.00ms
kamu/hack.js: 23:47:10.412 | Batch: 276 - 0     | H       | +41.00ms
kamu/grow.js:   23:47:10.425 | Batch: 276 - 0   |    G    | +34.00ms
kamu/weaken.js:   23:47:10.442 | Batch: 276 - 0 |       W | +31.00ms
kamu/hack.js: 23:47:10.468 | Batch: 276 - 1     | H       | +17.00ms
kamu/grow.js:   23:47:10.482 | Batch: 276 - 1   |    G    | +11.00ms
kamu/weaken.js:   23:47:10.519 | Batch: 276 - 1 |       W | +28.00ms
kamu/hack.js: 23:47:10.540 | Batch: 276 - 2     | H       | +9.00ms
kamu/grow.js:   23:47:10.567 | Batch: 276 - 2   |    G    | +16.00ms
kamu/weaken.js:   23:47:10.587 | Batch: 276 - 2 |       W | +16.00ms
kamu/hack.js: 23:47:10.631 | Batch: 276 - 3     | H       | +20.00ms
kamu/grow.js:   23:47:10.643 | Batch: 276 - 3   |    G    | +12.00ms
kamu/grow.js:   23:47:10.643 | Batch: 276 - 3   |    G    | +12.00ms
kamu/weaken.js:   23:47:10.694 | Batch: 276 - 3 |       W | +43.00ms
kamu/hack.js: 23:47:10.732 | Batch: 276 - 4     | H       | +41.00ms
kamu/grow.js:   23:47:10.754 | Batch: 276 - 4   |    G    | +43.00ms
kamu/weaken.js:   23:47:10.754 | Batch: 276 - 4 |       W | +23.00ms
kamu/hack.js: 23:47:10.793 | Batch: 276 - 5     | H       | +22.00ms
kamu/grow.js:   23:47:10.815 | Batch: 276 - 5   |    G    | +24.00ms
kamu/weaken.js:   23:47:10.830 | Batch: 276 - 5 |       W | +19.00ms
kamu/hack.js: 23:47:10.885 | Batch: 276 - 6     | H       | +34.00ms
kamu/grow.js:   23:47:10.890 | Batch: 276 - 6   |    G    | +19.00ms
kamu/weaken.js:   23:47:10.923 | Batch: 276 - 6 |       W | +32.00ms
kamu/hack.js: 23:47:10.956 | Batch: 276 - 7     | H       | +25.00ms
kamu/grow.js:   23:47:10.991 | Batch: 276 - 7   |    G    | +40.00ms
kamu/weaken.js:   23:47:11.013 | Batch: 276 - 7 |       W | +42.00ms
kamu/hack.js: 23:47:11.052 | Batch: 276 - 8     | H       | +41.00ms
kamu/grow.js:   23:47:11.052 | Batch: 276 - 8   |    G    | +21.00ms
kamu/weaken.js:   23:47:11.084 | Batch: 276 - 8 |       W | +33.00ms
kamu/hack.js: 23:47:11.130 | Batch: 276 - 9     | H       | +39.00ms
kamu/grow.js:   23:47:11.146 | Batch: 276 - 9   |    G    | +35.00ms
kamu/weaken.js:   23:47:11.156 | Batch: 276 - 9 |       W | +25.00ms
kamu/hack.js: 23:47:11.207 | Batch: 277 - 0     | H       | +31.00ms
kamu/grow.js:   23:47:11.230 | Batch: 277 - 0   |    G    | +34.00ms
kamu/weaken.js:   23:47:11.234 | Batch: 277 - 0 |       W | +18.00ms
kamu/hack.js: 23:47:11.270 | Batch: 277 - 1     | H       | +14.00ms
kamu/grow.js:   23:47:11.281 | Batch: 277 - 1   |    G    | +5.00ms
kamu/weaken.js:   23:47:11.331 | Batch: 277 - 1 |       W | +35.00ms
kamu/hack.js: 23:47:11.355 | Batch: 277 - 2     | H       | +19.00ms
kamu/grow.js:   23:47:11.369 | Batch: 277 - 2   |    G    | +13.00ms
kamu/weaken.js:   23:47:11.394 | Batch: 277 - 2 |       W | +18.00ms
kamu/hack.js: 23:47:11.447 | Batch: 277 - 3     | H       | +31.00ms
kamu/grow.js:   23:47:11.453 | Batch: 277 - 3   |    G    | +17.00ms
kamu/weaken.js:   23:47:11.484 | Batch: 277 - 3 |       W | +28.00ms
kamu/hack.js: 23:47:11.532 | Batch: 277 - 4     | H       | +36.00ms
kamu/grow.js:   23:47:11.555 | Batch: 277 - 4   |    G    | +39.00ms
kamu/weaken.js:   23:47:11.568 | Batch: 277 - 4 |       W | +32.00ms
kamu/hack.js: 23:47:11.584 | Batch: 277 - 5     | H       | +8.00ms
kamu/grow.js:   23:47:11.630 | Batch: 277 - 5   |    G    | +34.00ms
kamu/weaken.js:   23:47:11.645 | Batch: 277 - 5 |       W | +29.00ms
kamu/hack.js: 23:47:11.700 | Batch: 277 - 6     | H       | +44.00ms
kamu/grow.js:   23:47:11.708 | Batch: 277 - 6   |    G    | +32.00ms
kamu/weaken.js:   23:47:11.738 | Batch: 277 - 6 |       W | +42.00ms
kamu/hack.js: 23:47:11.773 | Batch: 277 - 7     | H       | +37.00ms
kamu/grow.js:   23:47:11.804 | Batch: 277 - 7   |    G    | +48.00ms
kamu/grow.js:   23:47:11.815 | Batch: 277 - 7   |    G    | +59.00ms
